AREA;TEMP;NBCAR
South Coast;20;170
South Coast;19;163
South Coast;23;195
South Coast;20;165
South Coast;22;435
South Coast;19;132
South Coast;19;124
South Coast;22;395
South Coast;23;444
South Coast;17;277
South Coast;23;258
South Coast;19;209
South Coast;22;456
South Coast;20;125
South Coast;20;254
South Coast;21;328
South Coast;20;169
South Coast;17;111
South Coast;21;446
South Coast;18;258
South Coast;21;336
South Coast;19;235
South Coast;20;137
South Coast;17;173
South Coast;21;400
South Coast;18;98
South Coast;20;170
South Coast;18;342
South Coast;23;349
South Coast;21;292
South Coast;21;334
South Coast;22;286
South Coast;19;135
South Coast;20;150
South Coast;19;98
South Coast;19;238
South Coast;20;184
South Coast;22;352
South Coast;22;511
South Coast;23;470
South Coast;23;363
South Coast;20;135
South Coast;17;88
South Coast;21;327
South Coast;22;356
South Coast;18;323
South Coast;22;509
South Coast;18;270
South Coast;22;389
South Coast;19;110
South Coast;23;531
South Coast;20;234
South Coast;18;112
South Coast;19;237
South Coast;19;261
South Coast;23;515
South Coast;20;90
South Coast;21;336
South Coast;21;265
South Coast;17;92
South Coast;20;249
South Coast;21;353
South Coast;18;231
South Coast;20;214
South Coast;19;287
South Coast;21;483
South Coast;21;218
South Coast;22;404
South Coast;20;116
South Coast;17;96
South Coast;22;349
South Coast;18;92
South Coast;19;216
South Coast;19;129
South Coast;21;541
South Coast;21;379
South Coast;23;304
South Coast;21;481
South Coast;18;288
South Coast;22;225
South Coast;18;162
South Coast;23;290
South Coast;18;210
South Coast;23;231
South Coast;18;265
South Coast;17;344
South Coast;20;299
South Coast;18;238
South Coast;18;139
South Coast;19;155
South Coast;17;104
South Coast;17;220
South Coast;18;82
South Coast;18;262
South Coast;23;167
South Coast;20;272
South Coast;17;196
South Coast;23;540
South Coast;22;271
South Coast;19;112
South Coast;17;126
South Coast;19;201
South Coast;23;438
South Coast;23;526
South Coast;19;263
South Coast;17;247
South Coast;23;170
South Coast;23;550
South Coast;23;366
South Coast;20;162
South Coast;23;164
South Coast;19;345
South Coast;18;145
South Coast;22;458
South Coast;17;289
South Coast;17;221
South Coast;20;255
South Coast;21;242
South Coast;20;273
South Coast;19;180
South Coast;17;211
South Coast;20;278
South Coast;23;328
South Coast;17;219
South Coast;17;312
South Coast;21;215
South Coast;17;163
South Coast;20;262
South Coast;21;477
South Coast;18;264
The most beautiful;20;218
The most beautiful;18;298
The most beautiful;19;188
The most beautiful;22;339
The most beautiful;23;357
The most beautiful;18;63
The most beautiful;19;143
The most beautiful;18;141
The most beautiful;19;284
The most beautiful;20;181
The most beautiful;19;34
The most beautiful;18;83
The most beautiful;18;72
The most beautiful;21;166
The most beautiful;19;197
The most beautiful;23;250
The most beautiful;17;65
The most beautiful;18;267
The most beautiful;21;498
The most beautiful;23;295
The most beautiful;23;450
The most beautiful;22;249
The most beautiful;17;234
The most beautiful;23;436
The most beautiful;20;38
The most beautiful;21;491
The most beautiful;21;477
The most beautiful;20;238
The most beautiful;19;129
The most beautiful;23;295
The most beautiful;17;259
The most beautiful;23;400
The most beautiful;19;246
The most beautiful;17;187
The most beautiful;20;98
The most beautiful;17;295
The most beautiful;19;259
The most beautiful;23;400
The most beautiful;20;203
The most beautiful;18;214
The most beautiful;21;320
The most beautiful;23;448
The most beautiful;19;85
The most beautiful;21;332
The most beautiful;19;159
The most beautiful;22;293
The most beautiful;23;380
The most beautiful;23;355
The most beautiful;17;44
The most beautiful;17;189
The most beautiful;23;112
The most beautiful;18;44
The most beautiful;21;311
The most beautiful;20;31
The most beautiful;20;265
The most beautiful;19;139
The most beautiful;21;487
The most beautiful;21;302
The most beautiful;19;35
The most beautiful;18;53
The most beautiful;20;42
The most beautiful;23;364
The most beautiful;21;478
The most beautiful;22;429
The most beautiful;20;232
The most beautiful;21;475
The most beautiful;18;282
The most beautiful;23;124
The most beautiful;23;377
The most beautiful;20;279
The most beautiful;22;313
The most beautiful;17;235
The most beautiful;18;75
The most beautiful;19;180
The most beautiful;21;359
The most beautiful;17;223
The most beautiful;23;278
The most beautiful;17;146
The most beautiful;20;295
The most beautiful;22;116
The most beautiful;18;183
The most beautiful;19;84
The most beautiful;18;75
The most beautiful;19;234
The most beautiful;19;56
The most beautiful;17;94
The most beautiful;20;219
The most beautiful;23;399
The most beautiful;17;246
The most beautiful;18;135
The most beautiful;17;192
The most beautiful;17;156
The most beautiful;18;125
The most beautiful;20;147
The most beautiful;23;262
The most beautiful;19;30
The most beautiful;19;284
The most beautiful;19;30
The most beautiful;18;174
The most beautiful;23;312
The most beautiful;20;112
The most beautiful;21;376
The most beautiful;22;321
The most beautiful;21;395
The most beautiful;17;265
The most beautiful;19;277
The most beautiful;22;160
In front of Canada;22;338
In front of Canada;19;223
In front of Canada;18;292
In front of Canada;18;162
In front of Canada;23;416
In front of Canada;23;117
In front of Canada;17;51
In front of Canada;23;210
In front of Canada;23;146
In front of Canada;19;124
In front of Canada;23;479
In front of Canada;17;255
In front of Canada;19;222
In front of Canada;23;182
In front of Canada;17;61
In front of Canada;17;120
In front of Canada;19;287
In front of Canada;20;95
In front of Canada;20;36
In front of Canada;20;149
In front of Canada;21;441
In front of Canada;19;186
In front of Canada;17;72
In front of Canada;17;296
In front of Canada;19;32
In front of Canada;22;192
In front of Canada;21;451
In front of Canada;22;245
In front of Canada;19;292
In front of Canada;21;146
In front of Canada;23;438
In front of Canada;17;133
In front of Canada;23;253
In front of Canada;17;202
In front of Canada;20;289
In front of Canada;21;485
In front of Canada;22;353
In front of Canada;21;247
In front of Canada;21;446
In front of Canada;18;193
In front of Canada;20;243
In front of Canada;17;76
In front of Canada;23;445
In front of Canada;19;113
In front of Canada;20;80
In front of Canada;18;88
In front of Canada;22;224
In front of Canada;17;130
In front of Canada;21;342
In front of Canada;20;220
In front of Canada;22;128
In front of Canada;18;172
In front of Canada;17;298
In front of Canada;19;284
In front of Canada;19;255
In front of Canada;20;33
In front of Canada;19;181
In front of Canada;18;220
In front of Canada;22;288
In front of Canada;23;212
In front of Canada;23;226
In front of Canada;23;227
In front of Canada;17;83
In front of Canada;21;495
In front of Canada;20;103
In front of Canada;18;136
In front of Canada;21;251
In front of Canada;18;166
In front of Canada;22;319
In front of Canada;19;80
In front of Canada;19;173
In front of Canada;19;218
In front of Canada;19;133
In front of Canada;19;93
In front of Canada;22;316
In front of Canada;20;191
In front of Canada;23;263
In front of Canada;22;152
In front of Canada;23;166
In front of Canada;21;434
In front of Jersey;22;335
In front of Jersey;17;142
In front of Jersey;19;142
In front of Jersey;22;200
In front of Jersey;18;213
In front of Jersey;18;164
In front of Jersey;17;242
In front of Jersey;18;185
In front of Jersey;20;56
In front of Jersey;20;64
In front of Jersey;22;429
In front of Jersey;19;120
In front of Jersey;19;134
In front of Jersey;18;53
In front of Jersey;17;149
In front of Jersey;20;130
In front of Jersey;21;455
In front of Jersey;22;166
In front of Jersey;21;213
In front of Jersey;22;463
In front of Jersey;19;203
In front of Jersey;20;78
In front of Jersey;20;209
In front of Jersey;21;455
